,Person
464,"સામ પિત્રોડા
"
465,"જયશંકર સુંદરી
"
466,"શરદ બાબૂ
"
467,"સંજીદા શેખ
"
468,"નિકિતા શાહ
"
469,"જાવેદ જાફ્રી
"
470,"કસ્તુરબા ગાંધી
"
471,"ઋશિ કપૂર
"
472,"હેમુ અધિકારી
"
473,"હરભજન સિંઘ
"
474,"બોમન ઇરાની
"
475,"જંતી મોહન ચન્દ્ર બાલયોગી
"
476,"રૉબિન સિંઘ
"
477,"યેસુદાસ
"
478,"ખાલિદ મસૂદ
"
479,"વકાર યૂનુસ
"
480,"નલિનિકાંત નવીન
"
481,"કરસનભાઈ પટેલ
"
482,"યશ્વિ પટેલ
"
483,"મેઘનાદ દેસાઈ
"
484,"સાહિબઝાદા ફારુખ અલી
"
485,"બલરામ જાખડ
"
486,"સુમિત્રા નન્દન પન્ત
"
487,"પન્નાલાલ પટેલ
"
488,"નાઝનીન પટેલ
"
489,"યેસુદાસ
"
490,"કરસનભાઈ પટેલ
"
491,"સરદાર હુકમ સિંઘ
"
492,"નિકિતા શાહ
"
493,"લીઓનાર્ડો ડી કેપ્રિયો
"
494,"ગુણવંતરાય આચાર્ય
"
495,"આશા પારેખ
"
496,"કાશ્મિરા શાહ
"
497,"કાશ્મિરા શાહ
"
498,"માર્ક બાઉચર
"
499,"અઝિમ પ્રેમજી
"
500,"ફિરોઝ ભગત
"
501,"બ્રૂસ લી
"
502,"રાહુલ ગાંધી
"
503,"જગમોહન દાલમિયા
"
504,"અરુણ ગોહિલ
"
505,"ઇમરાન હાશ્મી
"
506,"ઉમાશંકર જોશી
"
507,"માનવ ગોહિલ
"
508,"સરદાર વલ્લભભાઈ પટેલ
"
509,"નરી કોન્ટ્રેક્ટર
"
510,"મલૈકા અરોરા
"
511,"દીપક ઘીવાલા
"
512,"ઝિયા-ઉલ-હક
"
513,"મુરલી મનોહર જોશી
"
514,"રતન ટાટા
"
515,"આન્દ્રે અગાસી
"
516,"આસિફ મસૂદ કરીમ
"
517,"ઇમરાન હાશ્મી
"
518,"ઇન્દિરા ગાંધી
"
519,"જૉન્ટી રોડ્સ
"
520,"નમીતા વનકાવાલા
"
521,"લાભશંકર ઠાકર
"
522,"મોહમ્મદ અઝહરુદ્દીન
"
523,"ઇન્દર કુમાર ગુજરાલ
"
524,"ગુણવંતરાય આચાર્ય
"
525,"ગિરિશ કર્નાડ
"
526,"નરી કોન્ટ્રેક્ટર
"
527,"ગિરિજા પ્રસાદ કોઇરાલા
"
528,"ઉદય કોટક
"
529,"જસુ પટેલ
"
530,"ટીના પારેખ
"
531,"સુનીલ દત્ત
"
532,"લાલ કૃષ્ણ અડવાણી
"
533,"અક્રમ ખાન
"
534,"મલ્લિકા શેરાવત
"
535,"સૈફ અલી ખાન
"
536,"ઇસ્માઈલ દરબાર
"
537,"ડિમ્પલ કાપડિયા
"
538,"જયંતિ પટેલ
"
539,"સુમિત્રા નન્દન પન્ત
"
540,"મનુ પારેખ
"
541,"હર્શેલ ગિબ્સ
"
542,"દીપિકા પાદુકોણ
"
543,"ફારૂક એન્જિનિયર
"
544,"અટલ બિહારી વાજપેયી
"
545,"હસમુખભાઈ પારેખ
"
546,"સરિતા જોશી
"
547,"ફારૂખ શેખ
"
548,"એન્ડી ફ્લાવર
"
549,"પુરુશોત્તમ દાસ ટંડન
"
550,"પ્રેમાનંદ
"
551,"સત્યજીત રે
"
552,"મોહિંદર અમરનાથ
"
553,"બ્રાયન લારા
"
554,"રાહુલ દ્રવિડ
"
555,"પ્રભુ દેવા
"
556,"ચક્રવર્તી રાજગોપાલાચારી
"
557,"બટુભાઈ ઉમરવાડિયા
"
558,"સુચિતા ત્રિવેદી
"
559,"એલન ડોનાલ્ડ
"
560,"શત્રુઘ્ન સિંહા
"
561,"લાભશંકર ઠાકર
"
562,"સાયલી ભગત
"
563,"નિખિલ ચોપરા
"
564,"મનમોહન સિંઘ
"
565,"બોમન ઇરાની
"
566,"યુસુફ પઠાણ
"
567,"નમીતા વનકાવાલા
"
568,"માર્ક બાઉચર
"
569,"અમરીશ પુરી
"
570,"વેંકૈયા નાયડૂ
"
571,"અશ્મિત પટેલ
"
572,"સુમિત્રા નન્દન પન્ત
"
573,"શેખર રવજિઆની
"
574,"અર્વિંદ ત્રિવેદી
"
575,"સર્વપલ્લી રાધાકૃષ્ણન
"
576,"અર્જુન સિંઘ
"
577,"ડિમ્પલ કાપડિયા
"
578,"દુર્ગેશ શુકલા
"
579,"લીઓનાર્ડો ડી કેપ્રિયો
"
580,"સુમિત્રા નન્દન પન્ત
"
581,"જાવેદ જાફ્રી
"
582,"પ્રિયા બદલાની
"
583,"મનમોહન સિંઘ
"
584,"નયન મોંગિયા
"
585,"રુચા ગુજરાતી
"
586,"રોહન ગાવસ્કર
"
587,"ચિનુ મોદી
"
588,"ઇન્દુલાલ ગાંધી
"
589,"રત્ના પાઠક
"
590,"ચંકી પાન્ડે
"
591,"નિહારી જોશી
"
592,"બલ્વિન્દર સંધૂ
"
593,"ઋશિ કપૂર
"
594,"વરાહગિરી વેંકટગિરી
"
595,"પ્રેમ ચોપ્રા
"
596,"વિનોદ ગણપત કામ્બલી
"
597,"લાલ બહાદુર શાસ્ત્રી
"
598,"બ્રિન્દા પારેખ
"
599,"સત્યજીત રે
"
600,"વસીમ અક્રમ
"
601,"એલન ડોનાલ્ડ
"
602,"ક્રિષ્ણલાલ શ્રીધરાણી
"
603,"સ્ટીવ વૉગ
"
604,"આર. ડબલ્યૂ. એંડરસન
"
605,"દેવકાંત બરુઆ
"
606,"સોનિયા ગાંધી
"
607,"પરવેઝ મુશર્રફ
"
608,"અનંગ દેસાઇ
"
609,"બ્રિજેશ પટેલ
"
610,"મનહર ઊધાસ
"
611,"સદગોપન રમેશ
"
612,"કોંકણા સેન-શર્મા
"
613,"અનંગ દેસાઇ
"
614,"જ્યોતિ વૈદ્ય
"
615,"રત્ના પાઠક
"
616,"અર્જુન સિંઘ
"
617,"બ્રિન્દા પારેખ
"
618,"લાલ બહાદુર શાસ્ત્રી
"
619,"જયંતિ પટેલ
"
620,"નર્મદ
"
621,"સત્યજીત રે
"
622,"અભિનવ બિન્દ્રા
"
623,"વરાહગિરી વેંકટગિરી
"
624,"ગીત શેઠી
"
625,"શંકર દયાલ શર્મા
"
626,"બ્રિજેશ પટેલ
"
627,"લીઓનાર્ડો ડી કેપ્રિયો
"
628,"પરમસુખ નાયક
"
629,"ચમિંડા વાસ
"
630,"મુરલી મનોહર જોશી
"
631,"શમશેર જંગ બહાદુર રાણા
"
632,"શાહરુખ ખાન
"
633,"વેંકટપતિ રાજૂ
"
634,"મહાદેવ દેસાઈ
"
635,"જૅક કોલિસ
"
636,"સ્વરૂપ સંપત
"
637,"રણધીર કપૂર
"
638,"ચૌધરી સુજાત હુસૈન
"
639,"ચરણ સિંઘ
"
640,"જૉની વોકર
"
641,"મુથૈયા મુરલીધરન
"
642,"અર્જુન સિંઘ
"
643,"પ્રસૂન જોશી
"
644,"યશવંત પંડ્યા
"
645,"આશા પારેખ
"
646,"ઇમરાન ખાન
"
647,"એ.પી.જે. અબ્દુલ કલામ
"
648,"સાહિબઝાદા ફારુખ અલી
"
649,"હસન રઝા
"
650,"મુથૈયા મુરલીધરન
"
651,"નરી કોન્ટ્રેક્ટર
"
652,"મનહર ઊધાસ
"
653,"ચક્રવર્તી રાજગોપાલાચારી
"
654,"મુશ્તાક અહેમદ
"
655,"મુથૈયા મુરલીધરન
"
656,"ફિરોઝ નડિયાદવાલા
"
657,"દિલિપ કુમાર
"
658,"અર્વિંદ ત્રિવેદી
"
659,"શમશેર જંગ બહાદુર રાણા
"
660,"ગિરિજા પ્રસાદ કોઇરાલા
"
661,"પ્રાચી શાહ
"
662,"વસીમ અક્રમ
"
663,"કિશોર કુમાર
"
664,"અમીશા પટેલ
"
665,"કિશોર કુમાર
"
666,"પરીતા પારેખ
"
667,"મુનાફ પટેલ
"
668,"પ્રેમ ચોપ્રા
"
669,"આલ્બર્ટ ગિલક્રિસ્ટ
"
670,"સામ પિત્રોડા
"
671,"શિવરાજ પાટિલ
"
672,"દિવાળીબેન ભીલ
"
673,"વરાહગિરી વેંકટગિરી
"
674,"ઇલયારાજા
"
675,"ચમિંડા વાસ
"
676,"શ્રુતિ શેઠ
"
677,"ઐશ્વર્યા રાય
"
678,"મોહનદાસ કરમચંદ ગાંધી
"
679,"મુનાફ પટેલ
"
680,"રાજીવ ગાંધી
"
681,"બટુભાઈ ઉમરવાડિયા
"
682,"રમીઝ રાજા
"
683,"આશિષ આનંદ કપૂર
"
684,"આઈ પી ગૌતમ
"
685,"રાહુલ દ્રવિડ
"
686,"કોટા શ્રીનિવાસ રાવ કોઉન્ડમણી
"
687,"નરી કોન્ટ્રેક્ટર
"
688,"રણજીતરામ મહેતા
"
689,"અભિષેક બચ્ચન
"
690,"નવજોત સિંઘ સિદ્ધૂ
"
691,"માનવ ગોહિલ
"
692,"રાજદીપ સરદેસાઈ
"
693,"નાઝનીન પટેલ
"
