,Person
616,"కృష్ణారావు
"
617,"తిరుపతి
"
618,"దుర్గాదేవి
"
619,"గిరిధర్
"
620,"అంకమ్మరావు
"
621,"గంగాభవాని
"
622,"కోటేశ్వరరావు
"
623,"కాంతారావు
"
624,"గాంధారి
"
625,"దివ్యభాను
"
626,"దమయంతి
"
627,"కేశవరావు
"
628,"దివ్యభాను
"
629,"దుర్గారావు
"
630,"దుర్గాభవాని
"
631,"గాంధారి
"
632,"కృష్ణవేణి
"
633,"శ్రీలక్ష్మి
"
634,"శ్రీలక్ష్మి
"
635,"అమరేశ్వరరావు
"
636,"ఇందుమతి
"
637,"కృష్ణవేణి
"
638,"కామాక్షి
"
639,"జానకిరామ్
"
640,"ఊహ
"
641,"ఉషోదయం
"
642,"ఉషోదయం
"
643,"దమయంతి
"
644,"శ్రీ గణేష్
"
645,"కోటేశ్వరరావు
"
646,"దుర్గారావు
"
647,"ఉమ
"
648,"కొండలరావు
"
649,"గిరిధర్
"
650,"కృష్ణకుమారి
"
651,"చిత్ర
"
652,"ఆత్రేయ
"
653,"దయానంద్
"
654,"కృష్ణకుమారి
"
655,"తిరుమలరావు
"
656,"గంగోత్రి
"
657,"ధాత్రి
"
658,"ఇందిర
"
659,"ఏకలవ్య
"
660,"కిష్టప్ప
"
661,"కృష్ణవేణి
"
662,"దివ్యభాను
"
663,"ఉషాదేవి
"
664,"దేవి
"
665,"కుటుంబరావు
"
666,"జయంతి రావు
"
667,"గాంధారి
"
668,"దేవయాని
"
669,"ఉమాదేవి
"
670,"దేవయాని
"
671,"గాంధారి
"
672,"ఊహ
"
673,"కోటేశ్వరరావు
"
674,"గిరిధర్
"
675,"ఉష
"
676,"కన్యాకుమారి
"
677,"దేవదాసు
"
678,"గీతాంజలి
"
679,"దివాకరరావు
"
680,"అంకమ్మరావు
"
681,"ఉష
"
682,"గాయత్రి
"
683,"ఉష
"
684,"గంగాభవాని
"
685,"చైతన్య
"
686,"కిష్టయ్య
"
687,"ఉజ్వల
"
688,"దేవయాని
"
689,"దుర్గ
"
690,"ఉమామహేశ్వరరావు
"
691,"కోటేశ్వరరావు
"
692,"గంగోత్రి
"
693,"ఆమని
"
694,"ధర్మరాజు
"
695,"కమలాకరరావు
"
696,"ఏడుకొండలు
"
697,"చిత్ర
"
698,"కీరవాణి
"
699,"ఉష
"
700,"ధర్మరాజు
"
701,"ఇందుమతి
"
702,"కమలాకరరావు
"
703,"కాంతారావు
"
704,"దైవసహాయం
"
705,"శ్రీనివాస్
"
706,"ఆంజనేయులు
"
707,"చక్రవర్తి
"
708,"చిత్ర
"
709,"గంగోత్రి
"
710,"శ్రీనివాసరావు
"
711,"అంజన
"
712,"గాంధారి
"
713,"దివ్యభాను
"
714,"ఉషోదయం
"
715,"కోకిల
"
716,"ధనంజయ్
"
717,"గంగోత్రి
"
718,"దివాకర్
"
719,"ఇందుమతి
"
720,"కనకదుర్గ
"
721,"కృష్ణప్రసాద్
"
722,"చిత్ర
"
723,"గంగాభవాని
"
724,"తిరుమలరావు
"
725,"కొండలరావు
"
726,"అశోక
"
727,"గాంధారి
"
728,"శ్రీ గణేష్
"
729,"గాయత్రి
"
730,"శ్రీనివాస్
"
731,"కేశవరావు
"
732,"దుర్గాభవాని
"
733,"ఆంజనేయులు
"
734,"ఉమ
"
735,"కోటయ్య
"
736,"దీప్తి
"
737,"కేశవరావు
"
738,"శ్రీ శ్రీ
"
739,"ఏకలవ్య
"
740,"కాంతారావు
"
741,"కనకదుర్గ
"
742,"గీత
"
743,"కోకిల
"
744,"తిరుపతి
"
745,"అంజన
"
746,"దీప్తి
"
747,"అంజన
"
748,"ధనంజయ్
"
749,"దుర్గారావు
"
750,"కమలనాథ్
"
751,"దైవసుందరం
"
752,"ఈశ్వర్
"
753,"దివాకర్
"
754,"చూష్మ
"
755,"ఉషారాణి
"
756,"ఉమాకాంత్
"
