,Person
492,"জাকির হুসেন
"
493,"আব্বাসউদ্দিন
"
494,"জনি লিভার
"
495,"অতুলপ্রসাদ সেন
"
496,"ক্লাইব লয়েড
"
497,"মনিন্দর সিং
"
498,"হাসান রাজা
"
499,"জ্ঞানেন্দ্র বীর বিক্রম শাহ
"
500,"ইন্জামাম-উল-হক
"
501,"মমতা ব্যানার্জী
"
502,"রবীন্দ্রনাথ ঠাকুর
"
503,"বসু ভট্টাচার্য
"
504,"শঙ্খ ঘোষ
"
505,"জাকির হুসেন
"
506,"ঈশ্বর চন্দ্র বিদ্যাসাগর
"
507,"গুলাম ইশাক খান
"
508,"দেবেশ রায়
"
509,"ঐশ্বর্য রায়
"
510,"বুদ্ধদেব দাসগুপ্ত
"
511,"রাহুল দ্রাবিড়
"
512,"চৌধুরী শুজাত হুসেন
"
513,"এলিজাবেথ
"
514,"পার্থ সেনগুপ্ত
"
515,"অজিয় আগরকর
"
516,"শামশুর রহমান
"
517,"তন্ময় বোস
"
518,"সুচিত্রা মিত্র
"
519,"নয়ন মোঙ্গিয়া
"
520,"কৃষ্ণম রাজু
"
521,"বিধু বিনোদ চোপড়া
"
522,"রাজশেখর বসু
"
523,"ইন্দ্র কুমার গুজরাল
"
524,"কঙ্কোণা সেন শর্মা
"
525,"অনুপম খের
"
526,"মহবন অট্টাপট্টু
"
527,"লাল বাহাদুর শাস্ত্রী
"
528,"আকরম খান
"
529,"দেবেশ রায়
"
530,"স্বামী বিবেকানন্দ
"
531,"বুদ্ধদেব দাসগুপ্ত
"
532,"প্রফুল্ল চন্দ্র সেন
"
533,"ঋতুপর্ণ ঘোষ
"
534,"সতীনাথ মুখোপাধ্যায়
"
535,"অন্তরা চৌধুরী
"
536,"শাহিদ আফ্রিদী
"
537,"সনত জয়সূর্য
"
538,"মল্লিকা শেরাবত
"
539,"জগমোহন ডালমিয়া
"
540,"তারাশঙ্কর বন্দ্যোপাধ্যায়
"
541,"এলিজাবেথ
"
542,"মাত্রিকা প্রসাদ কৈরালা
"
543,"জ্যাকি শ্রফ
"
544,"বিশ্বেশর প্রসাদ কৈরালা
"
545,"মান্না দে
"
546,"সানিয়া মির্জা
"
547,"দিবেন্দু পালিত
"
548,"জ্যাকি শ্রফ
"
549,"লিয়োনার্ড ডি ক্যাপ্রিয়ো
"
550,"বিষ্ণু বর্ধন
"
551,"মনোজ কুমার
"
552,"বেঙ্কটেশ প্রসাদ
"
553,"লাবণি সরকার
"
554,"হৈমন্তী শুক্লা
"
555,"উদিদ নারায়ণ
"
556,"অনিল কুম্বলে
"
557,"অপর্ণা সেন
"
558,"দিবেন্দু পালিত
"
559,"এমজিরামচন্দ্রন
"
560,"বলাইচাঁদ মুখোপাধ্যায়
"
561,"ইমরান খান
"
562,"দেবকান্ত বরুয়া
"
563,"হেমন্ত মুখার্জী
"
564,"রাজীব গান্ধী
"
565,"লাবণি সরকার
"
566,"রামাস্বামী আইয়র বেঙ্কটরমণ
"
567,"সন্ধ্যা রানী মৃদুল
"
568,"ইমরান খান
"
569,"কেশ্রীকান্ত
"
570,"তপন সাহা
"
571,"মোহম্মদ আলি জিন্না
"
572,"জিয়া উল হক
"
573,"রবি শাস্ত্রী
"
574,"কমল হাসন
"
575,"দিলীপ বেঙ্গশরকার
"
576,"সোমনাথ চ্যাটার্জী
"
577,"হরপ্রসাদ শাস্ত্রী
"
578,"প্রেম চোপড়া
"
579,"দালের মেহন্দী
"
580,"কার্ল হুপর
"
581,"লাল বাহাদুর শাস্ত্রী
"
582,"রাণী মুখার্জী
"
583,"শরদিন্দু বন্দ্যোপাধ্যায়
"
584,"তপন সাহা
"
585,"দিব্যেন্দু বরুয়া
"
586,"স্বামী বিবেকানন্দ
"
587,"রাম মোহন রায়
"
588,"ইলায়রাজা
"
589,"ভিভিএস লক্ষ্মণ
"
590,"পারভেজ মুসারফ
"
591,"হরিশ ভিমাণী
"
592,"জন্তী মোহন চন্দ্র বালযোগী
"
593,"উপেন্দ্রকিশোর রায়
"
594,"দালের মেহন্দী
"
595,"দেব আনন্দ
"
596,"ঋষি কাপুর
"
597,"কৃষ্ণকান্ত অবস্থী
"
598,"অরুন মিত্র
"
599,"শাহিদ আফ্রিদী
"
600,"মাইকেল জ্যাকসন
"
601,"প্রিয়াঙ্কা বটেরা
"
602,"এলওয়ার্ট এল এ গৌর
"
603,"বনফুল
"
604,"এলন ডোনাল্ড
"
605,"মুথইয়া মুরলীধরন
"
606,"অলোক নাথ
"
607,"বসুন্ধরা রাজে সিন্ধিয়া
"
608,"আঁন্দ্রে আগাসী
"
609,"পণ্ডিত জ্ঞানপ্রকাশ ঘোষ
"
610,"বেনজির ভুট্টো
"
611,"জ্যাক ক্যালিস
"
612,"জয়নুল আবেদিন
"
613,"কবীর সুমন
"
614,"দিলীপ মহালনবীশ
"
615,"কে করুণানিধি
"
616,"শমসের জং বাহাদুর রাণা
"
617,"চার্লি চ্যাপলিন
"
618,"নারায়ণ গঙ্গোপাধ্যায়
"
619,"রাহুল গান্ধী
"
620,"বনফুল
"
621,"সর্দার হুকম সিংহ
"
622,"সাহিবজাদা ফারুকআলী
"
623,"নচিকেতা চক্রবর্তী
"
624,"ফারুক ইঞ্জিনিয়ার
"
625,"শ্যামাপ্রসাদ মুখার্জী
"
626,"জিতেন্দ্র
"
627,"দেবেশ রায়
"
628,"সিদ্ধাওনালী নিজালিংগপ্পা
"
629,"হর্শল গিব্বস
"
630,"রমীজ রাজা
"
631,"নবনীতা দেবসেন
"
632,"মেঘনাদ সাহা
"
633,"সঞ্জয় দত্ত
"
634,"সরফরাজ নওয়াজ
"
635,"বিষ্ণু দে
"
636,"দালের মেহন্দী
"
637,"বসুন্ধরা রাজে সিন্ধিয়া
"
638,"জুল্ফিকার আলি ভুট্টো
"
639,"পুরুষোত্তম দাস টন্ডন
"
640,"মলাইকা আরোরা
"
641,"ইন্জামাম-উল-হক
"
642,"অমর্ত্য সেন
"
643,"অভিতাভ বচ্চন
"
644,"অন্তরা চৌধুরী
"
645,"মার্গারেট থেচর
"
646,"ইমরান হাশমী
"
647,"অমরেশ পুরী
"
648,"পূর্ণদাস বাউল
"
649,"কালুবিথর্না
"
650,"লীলা মজুমদার
"
651,"আঁন্দ্রে আগাসী
"
652,"কালুবিথর্না
"
653,"মধুসূদন দত্ত
"
654,"এপিজে আব্দুল কালাম
"
655,"এডম পরোর
"
656,"যামিনী রায়
"
657,"ব্রজেন দাস
"
658,"এসপি বালাসুব্রহমনিয়ম
"
659,"পারভেজ মুসারফ
"
660,"বিধু বিনোদ চোপড়া
"
661,"ভিভিএস লক্ষ্মণ
"
662,"অল্লু রামালিঙ্গাইহ
"
663,"কৃষ্ণম রাজু
"
664,"মহেশ্বেতা দেবী
"
665,"মহেশ্বেতা দেবী
"
666,"কঙ্গনা রাউত
"
667,"ইন্দ্রজিত্ গুপ্ত
"
668,"দেবেশ রায়
"
669,"মুস্তাক আহমেদ
"
670,"গুরুদয়াল সিংহ ঢিল্লন
"
671,"তারাশঙ্কর বন্দ্যোপাধ্যায়
"
672,"নাগেশ্বর নারায়ণ রাও
"
673,"লাবণি সরকার
"
674,"জাভেদ জাফ্রী
"
675,"সূর্য বাহাদুর থাপা
"
676,"সুরজিত্ সিংহ বরনালা
"
677,"দেবাশিষ মোহান্তি
"
678,"বিশ্বেশর প্রসাদ কৈরালা
"
679,"সৌরভ গাঙ্গুলী
"
680,"দিব্যেন্দু বরুয়া
"
681,"শক্তি চট্টোপাধ্যায়
"
682,"রাজেন্দ্র প্রসাদ
"
683,"সোনু নিগম
"
684,"মহেশ্বেতা দেবী
"
685,"গগন খোডা
"
686,"রোনাল্ড রীগন
"
687,"মার্ক বাওচর
"
688,"ভিক্টর ব্যানার্জী
"
689,"চিত্তরঞ্জন রায়
"
690,"শর্মিলা ঠাকুর
"
691,"কাজী নজরুল ইসলাম
"
692,"ফখরুদ্দীন আলী আহমেদ
"
693,"অরবিন্দ ডি সিলভা
"
694,"অংশুমান গায়কোয়ার
"
695,"আঁন্দ্রে আগাসী
"
696,"এডম পরোর
"
697,"ইন্জামাম-উল-হক
"
698,"নচিকেতা চক্রবর্তী
"
699,"সরফরাজ নওয়াজ
"
700,"নভজত্ সিং সিদ্ধু
"
701,"সত্যজিত্ রায়
"
702,"নানা পাটেকর
"
703,"ঈশ্বর চন্দ্র বিদ্যাসাগর
"
704,"রামকুমার চট্টোপাধ্যায়
"
705,"পণ্ডিত শিব কুমার শর্মা
"
706,"সত্যজিত্ রায়
"
