,Person
701,"திலிப் வெங்சர்கர்.
"
702,"மகேஷ் பூபதி.
"
703,"மலர்.
"
704,"சங்கர் தயால் சர்மா.
"
705,"மயிலன்.
"
706,"பாத்திமா.
"
707,"ராணி முக்கரஜி.
"
708,"திலிப் வெங்சர்கர்.
"
709,"ராமசுவாமி அய்யர் வெங்கட்ராமன்.
"
710,"அணிதா
"
711,"தேன்மொழி.
"
712,"விகடகவி.
"
713,"தேவ்கன்ட் பருவா.
"
714,"மருதம்.
"
715,"அர்ஜுன் சிங்.
"
716,"மமுட்டி.
"
717,"யேசுதாஸ்.
"
718,"மன்னன்.
"
719,"தேன்மொழி.
"
720,"சவ்திரி சுஜாத் ஹுஸ்சன்.
"
721,"ஆர். டபுல்யு. ஆன்டர்சன்.
"
722,"யுஸ்ரா.
"
723,"விவியன் ரிச்சர்ட்ஸ்.
"
724,"அருண் கோயல்.
"
725,"கமுதம்.
"
726,"கலா
"
727,"பகவன்.
"
728,"சர்ப்பராஜ் நவாஜ்.
"
729,"ஆனந்தி.
"
730,"கலைச்செல்வி.
"
731,"கோலமயில்.
"
732,"ஜாக்கி ஷ்ரோப்.
"
733,"அமிர் சொஹய்ல் கான்.
"
734,"ஷம்ஷர் ஜங் பகதுர் ரனா.
"
735,"தர்மேந்திரன்.
"
736,"சாதத் அலி மன்டோ.
"
737,"வேந்தன்.
"
738,"காகன் கொடா.
"
739,"ரிஷி கபூர்.
"
740,"அஜய் தேவ்கன்.
"
741,"அகிலன்.
"
742,"சூர்யா பஹதுர் தபா.
"
743,"அப்துல் கரிம் தெல்கி.
"
744,"மாதவன்.
"
745,"புகழ்.
"
746,"கந்தன்.
"
747,"நேசமலர்.
"
748,"அன்னம்மா.
"
749,"செமியோன், செமியன்.
"
750,"செல்வின்.
"
751,"ஆடம் பரோரி.
"
752,"ஆடம் பரோரி.
"
753,"மைக்கேல் ஆதர்டன்.
"
754,"பரீஷ் ரவால்.
"
755,"அல்லு இராமலிங்கையா.
"
756,"காகன் கொடா.
"
757,"பகவன்.
"
758,"சலிம் மாலிக்.
"
759,"பொன்னுமணி.
"
760,"கோலம்.
"
761,"லதா மங்கேஷ்கர்.
"
762,"சின்னக்கிளி.
"
763,"அமிர்தா.
"
764,"கருணானிதி.
"
765,"பன்காஜ் உதாஸ்.
"
